지역,매장명,현황,주소,매장서비스,전화번호,주소_전처리,위도,경도,검색방식,시도
경기 평택시,평택이충DT점,영업중,경기도 평택시 추담로 30 (이충동 59) .,DT 매장/테라스/주차,031-666-7034,경기도 평택시 추담로 30,37.0555035293451,127.074191873909,주소검색,경기도
서울 강남구,역삼역점,영업중,"서울특별시 강남구 논현로 503 (역삼동, 송촌빌딩) 제1층 1호 .",,02-318-6381,서울특별시 강남구 논현로 503 제,37.5012739795743,127.036366846779,주소검색,서울특별시
서울 중구,충무로역점,영업중,"서울특별시 중구 퇴계로36길 2 (필동2가, 동국대학교충무로영상센터) .",주차,02-2268-8960,서울특별시 중구 퇴계로36길 2,37.5606439510409,126.993567232255,주소검색,서울특별시
경기 평택시,평택지산점,영업중,"경기도 평택시 지산로 10, 가이아프레지던스 1층  지산동 808-4, 101,102호",주차,031-8029-9005,경기도 평택시 지산로 10,37.0788355571979,127.055897515272,주소검색,경기도
서울 영등포구,FKI타워2호점,영업중,"서울특별시 영등포구 여의대로 24 (여의도동, 에프케이아이타워) 1층",,02-782-3647,서울특별시 영등포구 여의대로 24,37.5221803249647,126.919916550827,주소검색,서울특별시
인천 중구,인천공항T1탑승동점,영업중,인천광역시 중구 공항로 272 (인천공항) 탑승동 A/S 3층,24시간/주차,032-743-3720,인천광역시 중구 공항로 272 탑승동 A/S,37.458350533174,126.42769952089,주소검색,인천광역시
부산 강서구,부산명지강변DT점,영업중,부산광역시 강서구 르노삼성대로 586 (명지동) 1-3층,주차,051-710-2800,부산광역시 강서구 르노삼성대로 586 1-,35.0997418394309,128.928262215161,키워드검색,부산광역시
전북 전주시 덕진구,전북대의과대점,영업중,"전북특별자치도 전주시 덕진구 건지로 20 (금암동, 전북대학교병원) 의학계학생회관1층",주차,063-270-4597,전북특별자치도 전주시 덕진구 건지로 20 의학계학생회관,35.8479659003147,127.141059767822,주소검색,전북특별자치도
강원 인제군,(하)내린천휴게소점,영업중,"강원도 인제군 상남면 서울양양고속도로 117 양양방향 내린천휴게소, 1층",,.,강원도 인제군 상남면 서울양양고속도로 117 양양방향 내린천휴게소,37.9175359926716,128.288289857084,주소검색,강원특별자치도
강원 인제군,(상)내린천휴게소점,영업중,강원도 인제군 상남면 서울양양고속도로 117  서울방향 내린천휴게소 4층,,.,강원도 인제군 상남면 서울양양고속도로 117 서울방향 내린천휴게소,37.9175359926716,128.288289857084,주소검색,강원특별자치도
경남 거창군,경남거창점,영업중,경상남도 거창군 거창읍 성산길 130 가지리 1312-4,테라스/주차,055-942-2390,경상남도 거창군 거창읍 성산길 130 가지리 1312-4,35.6930664478988,127.899436837661,주소검색,경상남도
대전 서구,대전호수공원점,영업중,"대전광역시 서구 도안동로 234-42 1,2층 도안동 2336",주차,070-8862-8826,대전광역시 서구 도안동로 234-42 1,36.3262322832835,127.35027993458,키워드검색,대전광역시
부산 남구,국립부경대청운관점,영업중,"부산광역시 남구 용소로 45 (대연동, 국립부경대학교대연캠퍼스) 청운관 1층",,051-629-7419,부산광역시 남구 용소로 45 청운관,35.1311780304316,129.105045490948,주소검색,부산광역시
강원 홍천군,(상)홍천휴게소R점,영업중,강원도 홍천군 화촌면 서울양양고속도로 83 .,주차,.,강원도 홍천군 화촌면 서울양양고속도로 83,37.7589790243312,128.006514282282,주소검색,강원특별자치도
경기 이천시,이천점,영업중,"경기도 이천시 어재연로 35, 1~3층 (창전동 160-25)",흡연시설,031-635-6655,경기도 이천시 어재연로 35,37.2797576972593,127.445171271783,주소검색,경기도
충남 공주시,(하)정안알밤휴게소점,영업중,충청남도 공주시 정안면 논산천안고속도로 57 (정안하행휴게소) .,테라스/주차,,충청남도 공주시 정안면 논산천안고속도로 57,36.5707960910293,127.112004437346,주소검색,충청남도
충남 공주시,(상)정안알밤휴게소점,영업중,충청남도 공주시 정안면 논산천안고속도로 58 (정안상행휴게소) .,테라스/주차,,충청남도 공주시 정안면 논산천안고속도로 58,36.5694495299682,127.115102332782,주소검색,충청남도
제주 제주시,제주곽지해수욕장점,영업중,제주특별자치도 제주시 애월읍 곽지3길 27-1 2~3층,,064-799-1137,제주특별자치도 제주시 애월읍 곽지3길 27-1 2~,33.4492846133715,126.304230249168,키워드검색,제주특별자치도
서울 동작구,신대방삼거리역점,영업중,서울특별시 동작구 상도로 60 (대방동) 1층~2층,,02-823-2377,서울특별시 동작구 상도로 60 ~,37.4995614234716,126.927153186125,주소검색,서울특별시
대전 중구,대전삼부스포렉스점,영업중,"대전광역시 중구 태평로 83, 삼부스포렉스 1층 (태평동 408-11) .",주차,042-301-9960,대전광역시 중구 태평로 83,36.3241152130805,127.3937481484,주소검색,대전광역시
전북 익산시,익산부송점,영업중,"전라북도 익산시 하나로10길 70-1 (부송동, 레스트빌딩 1층) .",주차,063-832-1717,전라북도 익산시 하나로10길 70-1,35.961406370385,126.989041167117,주소검색,전북특별자치도
경남 창원시 진해구,진해속천점,영업중,경상남도 창원시 진해구 태평로 132 2~3층,테라스/주차,070-7786-1019,경상남도 창원시 진해구 태평로 132 2~,35.14167042171721,128.67073891542293,키워드검색,경상남도
서울 영등포구,여의도포스트타워점,영업중,서울특별시 영등포구 여의나루로 60 포스트타워 여의도 1층,주차,02-2135-5321,서울특별시 영등포구 여의나루로 60 포스트타워 여의도,37.5223003029771,126.926225192863,주소검색,서울특별시
서울 영등포구,대림역점,영업중,서울특별시 영등포구 도림로 140 대림빌딩 101호,테라스,02-834-1000,서울특별시 영등포구 도림로 140 대림빌딩,37.4930241705718,126.897628371815,주소검색,서울특별시
충남 보령시,대천비치점,영업중,충청남도 보령시 해수욕장4길 12 (신흑동) .,주차,070-4146-0406,충청남도 보령시 해수욕장4길 12,36.3057455538545,126.516563505417,주소검색,충청남도
부산 동래구,부산동래온천점,영업중,부산광역시 동래구 금강로 116 (온천동) 금강메디컬타워 1층,주차,051-923-5538,부산광역시 동래구 금강로 116 금강메디컬타워,35.2189848849705,129.07991341737,주소검색,부산광역시
서울 서대문구,충정로역점,영업중,서울특별시 서대문구 경기대로 26-26 어바니엘충정로 201동 지하1층 102호,주차,02-363-0807,서울특별시 서대문구 경기대로 26-26 어바니엘충정로 201동,37.5610226183,126.962192415514,주소검색,서울특별시
부산 사하구,부산고신대의과대학점,영업중,부산광역시 서구 감천로 262 고신의대 강의동 1층,주차,051-710-7565,부산광역시 서구 감천로 262 고신의대 강의동,35.0810780661749,129.014512799533,주소검색,부산광역시
대구 수성구,대구수성못DI점,영업중,대구광역시 수성구 용학로 62 1~2층,테라스/주차,053-761-7186,대구광역시 수성구 용학로 62 1~,35.8261121418192,128.61661011364,키워드검색,대구광역시
경남 진주시,경상국립대학생회관점,영업중,경상남도 진주시 진주대로 501 경상국립대 학생회관 1층,,055-772-0931,경상남도 진주시 진주대로 501 경상국립대 학생회관,35.1567141271262,128.098001405271,주소검색,경상남도
서울 양천구,서서울공원점,영업중,서울특별시 양천구 남부순환로58길 37 신월동 205-36,테라스,070-4277-6756,서울특별시 양천구 남부순환로58길 37 신월동 205-36,37.5291587223783,126.831707115465,주소검색,서울특별시
세종 세종시,AK&세종점,영업중,세종특별자치시 한누리대로 411 KT&G 세종타워A,주차,044-960-5377,세종특별자치시 한누리대로 411 KT&G 세종타워A,36.5011321800617,127.258850981903,주소검색,세종특별자치시
경기 고양시 일산동구,일산장항점,영업중,"경기도 고양시 일산동구 중앙로1275번길 56 (장항동, 루비튜스데이) 1~2층",주차,031-903-9991,경기도 고양시 일산동구 중앙로1275번길 56 1~,37.659187596381855,126.77004093802826,키워드검색,경기도
전북 전주시 덕진구,전북대 후생관점,영업중,전북특별자치도 전주시 덕진구 백제대로 567 후생관 1층,주차,.,전북특별자치도 전주시 덕진구 백제대로 567 후생관,35.8411382714422,127.131588969832,주소검색,전북특별자치도
전북 전주시 덕진구,전북대 진수당점,영업중,전북 전주시 덕진구 백제대로 567 (전북대 진수당 연구동 1층) .,주차,.,전북 전주시 덕진구 백제대로 567,35.8411382714422,127.131588969832,주소검색,전북특별자치도
전북 전주시 덕진구,전북대 중도라운지점,영업중,전북 전주시 덕진구 백제대로 567 중앙도서관 1층,주차,.,전북 전주시 덕진구 백제대로 567 중앙도서관,35.8411382714422,127.131588969832,주소검색,전북특별자치도
서울 동대문구,경희대 청운관점,영업중,서울 동대문구 경희대로 26 청운관 지하1층,주차,.,서울 동대문구 경희대로 26 청운관,37.5939491407769,127.054890960564,주소검색,서울특별시
서울 강북구,덕성여대점,영업중,서울시 강북구 삼양로 547 1~3층,테라스/주차,02-6093-0011,서울시 강북구 삼양로 547 1~,37.6516374099802,127.012462842757,키워드검색,서울특별시
전북 전주시 덕진구,전주백제대로점,영업중,전라북도 전주시 덕진구 백제대로 592 1층,주차,063-271-5056,전라북도 전주시 덕진구 백제대로 592,35.8408964267771,127.1345528895,주소검색,전북특별자치도
서울 영등포구,당산1가점,영업중,"서울특별시 영등포구 양산로 146, DE' HAR (당산동1가 256,258)",,02-2679-7942,서울특별시 영등포구 양산로 146,37.5235012531296,126.899170493803,주소검색,서울특별시
경북 예천군,경북도청점,영업중,경북 예천군 호명면 산합리 1427 1~2층,주차,054-654-0048,경북 예천군 호명면 산합리 1427 1~,36.57544354621875,128.49178162850362,키워드검색,경상북도
부산 사상구,부산백양대로DI점,영업중,부산광역시 사상구 백양대로 621 (괘법동) 2~4층,주차,051-324-7779,부산광역시 사상구 백양대로 621 2~,35.16292980702991,128.99047068265844,키워드검색,부산광역시
경기 성남시 분당구,분당미금점,영업중,"경기도 성남시 분당구 미금일로90번길 24, B1F ~ 1F /구미동 35-3",주차,010-6857-5532,경기도 성남시 분당구 미금일로90번길 24,37.3481758342373,127.110077084275,주소검색,경기도
부산 기장군,부산일광신도시점,영업중,부산광역시 기장군 일광읍 해빛6로 43-20 .,주차,070-4790-2715,부산광역시 기장군 일광읍 해빛6로 43-20,35.2645983877974,129.225683945199,주소검색,부산광역시
서울 중구,메리츠봉래타워점,영업중,서울시 중구 칠패로 28 메리츠강북타워 1층,,02-753-8835,서울시 중구 칠패로 28 메리츠강북타워,37.5592510458885,126.97211628887,주소검색,서울특별시
경기 고양시 덕양구,고양시청DI점,영업중,경기도 고양시 덕양구 호국로 730 2F,테라스/주차,031-812-0105,경기도 고양시 덕양구 호국로 730,37.65218651283,126.832627541488,주소검색,경기도
강원 원주시,(춘)치악휴게소점,영업중,강원도 원주시 신림면 다리실2길 32 .,테라스/주차,유선없음,강원도 원주시 신림면 다리실2길 32,37.2568539282276,128.048728935539,주소검색,강원특별자치도
인천 남동구,간석오거리점,영업중,인천광역시 남동구 남동대로 931 (간석동) 씨앤케이 웨딩홀,주차,032-425-0915,인천광역시 남동구 남동대로 931 씨앤케이 웨딩홀,37.4654858443824,126.707494596419,주소검색,인천광역시
대구 수성구,대구범어천로점,영업중,"대구광역시 수성구 범어천로 200 (범어월드메르디앙웨스턴카운티) 102호, 201호",주차,053-759-5779,대구광역시 수성구 범어천로 200,35.8637059117085,128.620612076888,주소검색,대구광역시
서울 강동구,고덕비즈밸리점,영업중,서울특별시 강동구 고덕비즈밸리로 38 (고덕동) KS타워 101호~102호,테라스/주차,070-7782-0055,서울특별시 강동구 고덕비즈밸리로 38 KS타워 ~,37.5662716017863,127.15962203189,주소검색,서울특별시
경남 창원시 의창구,창원팔용점,영업중,경상남도 창원시 의창구 창원대로18번길 6-8 .,테라스/흡연시설/주차,055-298-3434,경상남도 창원시 의창구 창원대로18번길 6-8,35.2543124472101,128.605601750469,주소검색,경상남도
서울 강남구,파르나스몰점,영업중,"서울특별시 강남구 테헤란로 521 (삼성동, 파르나스타워) 파르나스몰 내 B1층 F-3a호",주차,02-3453-1024,서울특별시 강남구 테헤란로 521 파르나스몰 내 B F-3a호,37.5091916919873,127.06080691987,주소검색,서울특별시
서울 노원구,석계역점,영업중,서울시 노원구 화랑로 325 1층,주차,02-942-1345,서울시 노원구 화랑로 325,37.6149530035255,127.064043360012,주소검색,서울특별시
강원 동해시,동해묵호점,영업중,강원특별자치도 동해시 해안로 368 1~3층,테라스/주차,033-534-8902,강원특별자치도 동해시 해안로 368 1~,37.5350136361538,129.114761337585,키워드검색,강원특별자치도
충남 홍성군,충남도청점,영업중,"충청남도 홍성군 홍북읍 청사로174번길 25 (성원타워,1-2층) 신경리 553",주차,041-631-4725,충청남도 홍성군 홍북읍 청사로174번길 25 신경리 553,36.6604327656871,126.680929119485,주소검색,충청남도
세종 세종시,세종국책연구단지점,영업중,"세종특별자치시 시청대로 370 (반곡동, 나라키움세종국책연구단지) .",주차,044-865-4684,세종특별자치시 시청대로 370,36.495796984508,127.304465262475,주소검색,세종특별자치시
부산 사하구,동아대 인문대점,영업중,"부산광역시 사하구 낙동대로550번길 37 (하단동, 동아대학교) S01 인문대 카페",,051-200-6165,부산광역시 사하구 낙동대로550번길 37 S01 인문대 카페,,,실패,부산광역시
경남 진주시,경상대 느티마루점,영업중,"경상남도 진주시 진주대로 501 (가좌동, 경상국립대학교가좌캠퍼스) .",,.,경상남도 진주시 진주대로 501,35.1567141271262,128.098001405271,주소검색,경상남도
대구 북구,경북대 크누라운지점,영업중,"대구광역시 북구 대학로 80 (산격동, 경북대학교) .",주차,.,대구광역시 북구 대학로 80,35.8890974884948,128.614322336303,주소검색,대구광역시
서울 성북구,국민대 성곡도서관점,영업중,"서울특별시 성북구 정릉로 77 (정릉동, 국민대학교) 도서관 지하1층",주차,02-910-4954,서울특별시 성북구 정릉로 77 도서관,37.6102919873059,126.998494142731,주소검색,서울특별시
광주 북구,atti-C 2023점,영업중,"광주광역시 북구 용봉로 77 (용봉동, 전남대학교) .",주차,062-530-0040,광주광역시 북구 용봉로 77,35.1739175430866,126.911235470135,주소검색,광주광역시
서울 동대문구,경희대 경영대점,영업중,서울특별시 동대문구 경희대로 26 (회기동) 경영대학 3층,주차,.,서울특별시 동대문구 경희대로 26 경영대학,37.5939491407769,127.054890960564,주소검색,서울특별시
광주 서구,광주상무점,영업중,"광주광역시 서구 상무연하로 16 (치평동, 스마일빌딩) 1층 109호",주차,062-371-7778,광주광역시 서구 상무연하로 16,35.1495938814346,126.850577941562,주소검색,광주광역시
충북 청주시 청원구,청주내수DI점,영업중,충청북도 청주시 청원구 내수읍 충청대로 410-19 1F-2F 구성리 251-53,테라스/주차,043-241-0517,충청북도 청주시 청원구 내수읍 충청대로 410-19 - 구성리 251-53,36.6869395716947,127.512504267469,주소검색,충청북도
서울 중구,명동역점,영업중,"서울특별시 중구 퇴계로 131 (충무로2가, 신일빌딩) .",,02-752-5925,서울특별시 중구 퇴계로 131,37.5612833166249,126.986361886176,주소검색,서울특별시
인천 부평구,인천굴포천역점,영업중,"인천광역시 부평구 충선로209번길 49 (삼산동, 삼산노블시티프라자) 삼산동 463-2, 103,104,105호",테라스/주차,070-4400-4664,인천광역시 부평구 충선로209번길 49 삼산동 463-2,37.5079902459765,126.733554195741,주소검색,인천광역시
대구 서구,대구팔달교DT점,영업중,대구광역시 서구 팔달로 34 1~2층,DT 매장/테라스/주차,0507-1323-9597,대구광역시 서구 팔달로 34 1~,35.891368218120014,128.5537485384924,키워드검색,대구광역시
인천 중구,인천공항교통센터점,영업중,"인천광역시 중구 공항로 272 (운서동, 인천공항) 인천국제공항 제1여객터미널 지하1층(실번호 2-32-07)",주차,032-743-3718,인천광역시 중구 공항로 272 인천국제공항 제1여객터미널,37.458350533174,126.42769952089,주소검색,인천광역시
부산 중구,한국선원센터점,영업중,"부산광역시 중구 충장대로9번길 66 (중앙동4가, 한국선원센터) (중앙동4가 74-7)1층",,070-4070-7506,부산광역시 중구 충장대로9번길 66,35.1109146074151,129.039448639821,주소검색,부산광역시
제주 제주시,제주애월천덕로점,영업중,제주특별자치도 제주시 애월읍 천덕로 238-1 다동 1층 납읍리 2513-1,테라스/주차,064-799-6667,제주특별자치도 제주시 애월읍 천덕로 238-1 다동 납읍리 2513-1,33.4328409452099,126.324669602016,주소검색,제주특별자치도
경기 화성시,화성만세DT점,영업중,경기도 화성시 향남읍 서해로 191 1층,DT 매장/테라스/주차,070-5159-5942,경기도 화성시 향남읍 서해로 191,37.0824712805316,126.912864304014,주소검색,경기도
대구 달서구,대구장기점,영업중,대구광역시 달서구 장기로 268 1~2층,흡연시설/주차,053-522-0666,대구광역시 달서구 장기로 268 1~,35.84375732330939,128.53090259527252,키워드검색,대구광역시
부산 연제구,부산연산점,영업중,부산광역시 연제구 반송로 89 (연산동) 1층,주차,051-989-3296,부산광역시 연제구 반송로 89,35.191538058945,129.088297824307,주소검색,부산광역시
경기 안양시 동안구,평촌점,영업중,경기도 안양시 동안구 관평로170번길 43 (훼미리타운 125호) 1층,테라스/흡연시설/주차,031-385-3400,경기도 안양시 동안구 관평로170번길 43,37.3933193690503,126.963172221695,주소검색,경기도
인천 남동구,남동케이원점,영업중,"인천광역시 남동구 비류대로 622 (남촌동) 남동산단케이원 1층 105,106,108호 (남촌동)",주차,032-821-9110,인천광역시 남동구 비류대로 622 남동산단케이원 105,37.4222410745097,126.703589231626,주소검색,인천광역시
충북 청주시 흥덕구,오송역사점,영업중,충청북도 청주시 흥덕구 오송읍 오송가락로 123 (오송역 2층 맞이방) 봉산리 370-31,주차,.,충청북도 청주시 흥덕구 오송읍 오송가락로 123 봉산리 370-31,36.620474826115,127.327143465414,주소검색,충청북도
경북 구미시,구미CGV점,영업중,"경상북도 구미시 구미중앙로 44 (멀티복합상가) 원평동68-1, 1층",주차,054-604-0375,경상북도 구미시 구미중앙로 44 원평동68-1,36.1301000949918,128.327630524217,주소검색,경상북도
울산 북구,울산정자해변점,영업중,울산광역시 북구 동해안로 1544 (정자동) A동 1층~2층,테라스/주차,052-281-0620,울산광역시 북구 동해안로 1544 A동 ~,35.6228720816118,129.444190029812,주소검색,울산광역시
부산 부산진구,부산서면일번가점,영업중,부산광역시 부산진구 서면로68번길 52 (부전동) 1층,,051-819-1449,부산광역시 부산진구 서면로68번길 52,35.154662847368,129.058242935559,주소검색,부산광역시
강원 강릉시,강릉안목해변점,영업중,"강원특별자치도 강릉시 창해로14번길 34-1 (견소동) 견소동283-6,견소동132",테라스,070-7575-0184,강원특별자치도 강릉시 창해로14번길 34-1 견소동283-6,37.7716433825738,128.948299914646,주소검색,강원특별자치도
경북 경주시,경주용강DT점,영업중,"경상북도 경주시 산업로 4510 (용강동, 용강주유소) .",DT 매장/주차,070-7575-0185,경상북도 경주시 산업로 4510,35.8815926630775,129.230528773781,주소검색,경상북도
전북 군산시,군산수송점,영업중,"전라북도 군산시 수송북로 22. 수송동 831-1,1층",흡연시설/주차,063-467-9500,전라북도 군산시 수송북로 22 수송동 831-1,35.966725263712,126.716527071583,주소검색,전북특별자치도
광주 북구,광주운암점,영업중,광주광역시 북구 북문대로 184 (운암동) .,주차,062-531-7711,광주광역시 북구 북문대로 184,35.1848529560288,126.871003429729,주소검색,광주광역시
경기 이천시,이천축산농협점,영업중,경기도 이천시 구만리로 107 (진리동) 진리동 371-2,테라스/주차,031-635-6694,경기도 이천시 구만리로 107 진리동 371-2,37.2693646932398,127.447785013957,주소검색,경기도
경기 구리시,구리돌다리점,영업중,경기도 구리시 경춘로227번길 14 (인창동) 1층,테라스/24시간/주차,031-564-4565,경기도 구리시 경춘로227번길 14,37.6013088577079,127.140106100318,주소검색,경기도
서울 성동구,소월아트홀점,영업중,서울특별시 성동구 왕십리로 275-1 (행당동 133-2) .,테라스/흡연시설/주차,02-2294-7002,서울특별시 성동구 왕십리로 275-1,37.5589650309639,127.036892174319,주소검색,서울특별시
서울 송파구,송파거여역점,영업중,"서울특별시 송파구 오금로 513 (위례빌딩,1층)  거여동 37",테라스,02-449-6232,서울특별시 송파구 오금로 513 거여동 37,37.4932241638816,127.145878722601,주소검색,서울특별시
경북 경주시,경주주상절리점,영업중,경상북도 경주시 양남면 동해안로 486 .,테라스/주차,054-743-3780,경상북도 경주시 양남면 동해안로 486,35.6860171734843,129.473577893753,주소검색,경상북도
충남 홍성군,(하)홍성휴게소점,영업중,충청남도 홍성군 은하면 금국리 275-2 .,주차,041-642-1172,충청남도 홍성군 은하면 금국리 275-2,36.5539279333687,126.579678889933,주소검색,충청남도
충남 홍성군,(상)홍성휴게소점,영업중,충청남도 홍성군 은하면 서해안고속도로 220 .,주차,041-642-1172,충청남도 홍성군 은하면 서해안고속도로 220,36.5535929369988,126.582102684948,주소검색,충청남도
울산 울주군,울산KTX점,영업중,울산광역시 울주군 삼남읍 도호1길 38 1층,주차,052-937-8887,울산광역시 울주군 삼남읍 도호1길 38,35.547076374733,129.139603927419,주소검색,울산광역시
경기 성남시 분당구,분당파크타운점,영업중,"경기도 성남시 분당구 내정로 170 (수내동, 동신파크빌딩) .",주차,031-713-8570,경기도 성남시 분당구 내정로 170,37.3734822322128,127.1196585636,주소검색,경기도
경기 하남시,하남덕풍점,영업중,경기도 하남시 덕풍북로 2 .,주차,070-4791-4731,경기도 하남시 덕풍북로 2,37.5465190526701,127.198429105715,주소검색,경기도
대전 중구,대전오류점,영업중,"대전광역시 중구 계룡로 876 메종드메디컬빌딩 104호, 202호 .",흡연시설/주차,042-522-3141,대전광역시 중구 계룡로 876 메종드메디컬빌딩,36.3232332443476,127.411063165281,주소검색,대전광역시
충남 계룡시,계룡대점,영업중,충청남도 계룡시 신도안면 신도안1길 43 (계룡스포츠센터) 계룡스포츠센터 1층,주차,042-551-5508,충청남도 계룡시 신도안면 신도안1길 43 계룡스포츠센터,36.2961796776733,127.245661746199,주소검색,충청남도
대전 서구,대전타임월드점,영업중,대전광역시 서구 둔산로 32-13(둔산동) .,테라스/흡연시설/주차,042-489-1315,대전광역시 서구 둔산로 32-13,36.3510584920899,127.377297324363,주소검색,대전광역시
경북 구미시,구미오태DT점,영업중,경상북도 구미시 금오대로 320 .,주차,054-461-0348,경상북도 구미시 금오대로 320,36.0729781990071,128.351102643001,주소검색,경상북도
경기 고양시 덕양구,화정DI점,영업중,경기도 고양시 덕양구 화신로 254 (화정동) .,테라스/주차,031-971-4097,경기도 고양시 덕양구 화신로 254,37.630815241124,126.833367781083,주소검색,경기도
경기 과천시,과천정보타운점,영업중,"경기도 과천시 과천대로7가길 20 (갈현동,프리즘스퀘어1 1층 101호) 갈현동 산32",주차,02-6958-6720,경기도 과천시 과천대로7가길 20 갈현동 산32,37.4142847459543,126.981002959956,주소검색,경기도
경기 양평군,양평북한강DI점,영업중,경기도 양평군 양서면 양수로118번길 29 할리스,테라스/주차,031-8079-7090,경기도 양평군 양서면 양수로118번길 29 할리스,37.5449819911009,127.323590388456,주소검색,경기도
전북 완주군,완주삼봉점,영업중,전라북도 완주군 삼례읍 신기길 5-3 /수계리 1212-4,,063-261-2003,전라북도 완주군 삼례읍 신기길 5-3 /수계리 1212-4,35.9184114195791,127.117547781303,주소검색,전북특별자치도
서울 송파구,잠실새내역점,영업중,"서울특별시 송파구 올림픽로12길 8 (잠실동, 제일빌딩) .",테라스/흡연시설,02-416-2085,서울특별시 송파구 올림픽로12길 8,37.5109956587836,127.082785706876,주소검색,서울특별시
경기 화성시,화성남양점,영업중,경기 화성시 역골중앙로 115 1층 /남양읍 남양리 2279-2,주차,031-8067-7760,경기 화성시 역골중앙로 115 /남양읍 남양리 2279-2,37.2079439318033,126.827360821856,주소검색,경기도
경기 여주시,여주교동DI점,영업중,경기도 여주시 향교로 17 (창동) 1층~2층 /창동 183-4,주차,031-882-8121,경기도 여주시 향교로 17 ~ /창동 183-4,37.2882945237973,127.632101484765,주소검색,경기도
